Time,InternalTemperature,ExternalTemperature
2022-05-26 20:00:00,86.36,61.3
2022-05-27 08:00:00,86.18,55.1
2022-05-27 08:05:00,86.36,55.3
2022-05-27 08:10:00,86.72,55.3
2022-05-27 08:15:00,86.18,55.3
2022-05-27 08:20:00,86.36,55.3
2022-05-27 08:25:00,85.82,55.3
2022-05-27 08:30:00,86.18,55.7
2022-05-27 08:35:00,86.0,56.0
2022-05-27 08:40:00,86.18,56.4
2022-05-27 08:45:00,85.82,56.4
2022-05-27 08:50:00,85.82,56.8
2022-05-27 08:55:00,86.36,57.3
2022-05-27 09:00:00,86.54,57.8
2022-05-27 09:05:00,86.54,57.9
2022-05-27 09:10:00,86.9,58.2
2022-05-27 09:15:00,87.44,58.2
2022-05-27 09:20:00,86.9,58.6
2022-05-27 09:25:00,87.08,58.7
2022-05-27 09:30:00,91.04,58.9
2022-05-27 09:35:00,91.22,59.3
2022-05-27 09:40:00,91.04,59.6
2022-05-27 09:45:00,91.22,59.6
2022-05-27 09:50:00,91.22,60.3
2022-05-27 09:55:00,91.76,60.8
2022-05-27 10:00:00,91.94,61.8
2022-05-27 10:05:00,91.58,62.0
2022-05-27 10:10:00,91.76,62.0
2022-05-27 10:15:00,91.76,62.0
2022-05-27 10:20:00,92.12,62.3
2022-05-27 10:25:00,92.12,62.5
2022-05-27 10:30:00,92.12,62.7
2022-05-27 10:35:00,92.3,62.9
2022-05-27 10:40:00,91.94,62.9
2022-05-27 10:45:00,92.12,63.5
2022-05-27 10:50:00,91.94,64.5
2022-05-27 10:55:00,92.12,66.5
2022-05-27 11:00:00,91.94,66.8
2022-05-27 11:05:00,91.94,66.5
2022-05-27 11:10:00,92.12,66.5
2022-05-27 11:15:00,91.76,66.3
2022-05-27 11:20:00,92.3,65.9
2022-05-27 11:25:00,92.12,65.9
2022-05-27 11:30:00,91.94,66.8
2022-05-27 11:35:00,92.3,66.4
2022-05-27 11:40:00,92.66,66.4
2022-05-27 11:45:00,92.48,66.0
2022-05-27 11:50:00,91.94,66.4
2022-05-27 11:55:00,92.3,66.9
2022-05-27 12:00:00,92.3,66.9
2022-05-27 12:05:00,92.12,66.9
2022-05-27 12:10:00,92.3,66.9
2022-05-27 12:15:00,92.3,67.8
2022-05-27 12:20:00,92.66,68.5
2022-05-27 12:25:00,92.84,69.6
2022-05-27 12:30:00,92.84,69.6
2022-05-27 12:35:00,92.66,69.6
2022-05-27 12:40:00,92.66,69.1
2022-05-27 12:45:00,92.48,69.1
2022-05-27 12:50:00,92.48,68.4
2022-05-27 12:55:00,92.84,67.5
2022-05-27 13:00:00,92.66,66.7
2022-05-27 13:05:00,92.84,66.3
2022-05-27 13:10:00,92.48,66.3
2022-05-27 13:15:00,92.48,66.2
2022-05-27 13:20:00,91.94,65.6
2022-05-27 13:25:00,91.94,65.3
2022-05-27 13:30:00,91.58,65.0
2022-05-27 13:35:00,91.76,64.8
2022-05-27 13:40:00,91.4,64.8
2022-05-27 13:45:00,91.04,65.2
2022-05-27 13:50:00,87.62,65.8
2022-05-27 13:55:00,87.44,66.7
2022-05-27 14:00:00,87.26,66.4
2022-05-27 14:05:00,87.08,65.2
2022-05-27 14:10:00,87.44,65.2
2022-05-27 14:15:00,87.26,64.3
2022-05-27 14:20:00,87.26,63.4
2022-05-27 14:25:00,87.08,63.4
2022-05-27 14:30:00,87.08,63.3
2022-05-27 14:35:00,87.26,63.3
2022-05-27 14:40:00,86.72,63.9
2022-05-27 14:45:00,86.72,63.9
2022-05-27 14:50:00,86.9,64.6
2022-05-27 14:55:00,86.72,64.7
2022-05-27 15:00:00,87.08,64.3
2022-05-27 15:05:00,87.08,64.3
2022-05-27 15:10:00,86.9,64.3
2022-05-27 15:15:00,87.08,64.7
2022-05-27 15:20:00,86.9,64.9
2022-05-27 15:25:00,87.08,64.7
2022-05-27 15:30:00,86.9,64.4
2022-05-27 15:35:00,86.72,64.1
2022-05-27 15:40:00,86.72,64.1
2022-05-27 15:45:00,86.9,63.6
2022-05-27 15:50:00,86.9,63.1
2022-05-27 15:55:00,86.54,63.1
2022-05-27 16:00:00,86.54,63.0
2022-05-27 16:05:00,86.36,62.3
2022-05-27 16:10:00,86.9,62.3
2022-05-27 16:15:00,86.9,61.4
2022-05-27 16:20:00,86.9,60.5
2022-05-27 16:25:00,87.08,60.2
2022-05-27 16:30:00,87.08,59.6
2022-05-27 16:35:00,87.26,59.4
2022-05-27 16:40:00,87.08,59.4
2022-05-27 16:45:00,87.08,59.0
2022-05-27 16:50:00,86.9,58.3
2022-05-27 16:55:00,86.9,58.1
2022-05-27 17:00:00,86.72,58.1
2022-05-27 17:05:00,86.9,58.3
2022-05-27 17:10:00,86.36,58.3
2022-05-27 17:15:00,85.82,58.5
2022-05-27 17:20:00,86.0,58.6
2022-05-27 17:25:00,86.0,58.8
2022-05-27 17:30:00,86.18,59.1
2022-05-27 17:35:00,86.0,59.7
2022-05-27 17:40:00,86.0,59.7
2022-05-27 17:45:00,86.18,60.4
2022-05-27 17:50:00,86.18,61.0
2022-05-27 17:55:00,86.18,61.4
2022-05-27 18:00:00,86.0,61.6
2022-05-27 18:05:00,86.18,61.6
2022-05-27 18:10:00,86.54,61.6
2022-05-27 18:15:00,86.36,61.6
2022-05-27 18:20:00,86.72,61.6
2022-05-27 18:25:00,86.72,61.4
2022-05-27 18:30:00,86.9,61.1
2022-05-27 18:35:00,86.9,60.8
2022-05-27 18:40:00,87.08,60.7
2022-05-27 18:45:00,86.9,60.7
2022-05-27 18:50:00,87.08,60.6
2022-05-27 18:55:00,87.26,60.4
2022-05-27 19:00:00,87.08,60.3
2022-05-27 19:05:00,87.08,60.1
2022-05-27 19:10:00,87.08,60.1
2022-05-27 19:15:00,87.44,59.8
2022-05-27 19:20:00,87.26,59.5
2022-05-27 19:25:00,87.26,59.0
2022-05-27 19:30:00,87.08,58.6
2022-05-27 19:35:00,87.26,58.0
2022-05-27 19:40:00,87.08,57.5
2022-05-27 19:45:00,87.26,57.5
2022-05-27 19:50:00,86.9,57.1
2022-05-27 19:55:00,86.72,57.1
2022-05-27 20:00:00,86.72,56.7
2022-05-28 08:00:00,86.36,52.9
2022-05-28 08:05:00,81.86,53.1
2022-05-28 08:10:00,81.86,53.1
2022-05-28 08:15:00,81.68,53.1
2022-05-28 08:20:00,81.68,53.1
2022-05-28 08:25:00,81.86,53.2
2022-05-28 08:30:00,82.4,53.3
2022-05-28 08:35:00,85.46,53.4
2022-05-28 08:40:00,85.28,53.4
2022-05-28 08:45:00,85.64,53.5
2022-05-28 08:50:00,85.82,53.6
2022-05-28 08:55:00,85.46,53.7
2022-05-28 09:00:00,85.46,53.9
2022-05-28 09:05:00,85.46,54.0
2022-05-28 09:10:00,85.64,54.0
2022-05-28 09:15:00,85.46,54.2
2022-05-28 09:20:00,85.82,54.3
2022-05-28 09:25:00,85.82,54.4
2022-05-28 09:30:00,85.82,54.5
2022-05-28 09:35:00,85.82,54.6
2022-05-28 09:40:00,85.64,54.6
2022-05-28 09:45:00,85.82,54.6
2022-05-28 09:50:00,85.46,54.7
2022-05-28 09:55:00,85.64,55.0
2022-05-28 10:00:00,85.64,55.3
2022-05-28 10:05:00,85.82,55.5
2022-05-28 10:10:00,85.46,55.6
2022-05-28 10:15:00,85.64,55.6
2022-05-28 10:20:00,85.64,55.6
2022-05-28 10:25:00,86.0,55.8
2022-05-28 10:30:00,85.82,56.0
2022-05-28 10:35:00,85.46,56.2
2022-05-28 10:40:00,85.82,56.2
2022-05-28 10:45:00,85.64,56.4
2022-05-28 10:50:00,86.0,57.2
2022-05-28 10:55:00,85.82,58.0
2022-05-28 11:00:00,85.82,58.1
2022-05-28 11:05:00,86.0,58.1
2022-05-28 11:10:00,86.18,58.1
2022-05-28 11:15:00,86.18,57.8
2022-05-28 11:20:00,86.18,58.3
2022-05-28 11:25:00,86.36,58.4
2022-05-28 11:30:00,86.36,59.1
2022-05-28 11:35:00,86.72,59.7
2022-05-28 11:40:00,87.08,59.7
2022-05-28 11:45:00,87.44,60.0
2022-05-28 11:50:00,87.26,60.4
2022-05-28 11:55:00,87.26,60.3
2022-05-28 12:00:00,87.44,59.9
2022-05-28 12:05:00,87.62,59.6
2022-05-28 12:10:00,87.62,59.6
2022-05-28 12:15:00,87.62,59.3
2022-05-28 12:20:00,91.04,59.3
2022-05-28 12:25:00,87.62,59.3
2022-05-28 12:30:00,87.8,59.3
2022-05-28 12:35:00,87.44,59.4
2022-05-28 12:40:00,91.04,59.4
2022-05-28 12:45:00,91.22,59.5
2022-05-28 12:50:00,91.22,59.8
2022-05-28 12:55:00,91.4,60.0
2022-05-28 13:00:00,91.4,60.3
2022-05-28 13:05:00,91.4,60.5
2022-05-28 13:10:00,91.58,60.5
2022-05-28 13:15:00,91.22,60.0
2022-05-28 13:20:00,91.22,59.6
2022-05-28 13:25:00,91.22,59.6
2022-05-28 13:30:00,91.04,59.9
2022-05-28 13:35:00,91.22,59.9
2022-05-28 13:40:00,91.04,60.2
2022-05-28 13:45:00,91.22,60.6
2022-05-28 13:50:00,91.4,61.0
2022-05-28 13:55:00,91.22,61.4
2022-05-28 14:00:00,91.4,61.1
2022-05-28 14:05:00,91.22,60.9
2022-05-28 14:10:00,91.4,61.1
2022-05-28 14:15:00,91.4,61.1
2022-05-28 14:20:00,91.22,61.4
2022-05-28 14:25:00,91.22,61.7
2022-05-28 14:30:00,91.22,61.6
2022-05-28 14:35:00,91.22,61.7
2022-05-28 14:40:00,91.4,61.7
2022-05-28 14:45:00,91.22,61.8
2022-05-28 14:50:00,91.4,62.5
2022-05-28 14:55:00,91.4,62.6
2022-05-28 15:00:00,91.76,62.4
2022-05-28 15:05:00,91.94,62.4
2022-05-28 15:10:00,92.12,62.4
2022-05-28 15:15:00,92.66,62.3
2022-05-28 15:20:00,92.48,62.2
2022-05-28 15:25:00,92.3,62.5
2022-05-28 15:30:00,92.12,62.6
2022-05-28 15:35:00,92.12,62.7
2022-05-28 15:40:00,91.94,62.7
2022-05-28 15:45:00,91.94,62.6
2022-05-28 15:50:00,91.76,62.6
2022-05-28 15:55:00,91.76,63.0
2022-05-28 16:00:00,91.76,63.1
2022-05-28 16:05:00,91.58,63.1
2022-05-28 16:10:00,91.4,63.2
2022-05-28 16:15:00,91.94,63.5
2022-05-28 16:20:00,91.58,63.5
2022-05-28 16:25:00,91.58,63.8
2022-05-28 16:30:00,91.58,64.6
2022-05-28 16:35:00,91.58,64.8
2022-05-28 16:40:00,91.58,64.8
2022-05-28 16:45:00,91.94,64.6
2022-05-28 16:50:00,91.76,65.0
2022-05-28 16:55:00,91.94,65.3
2022-05-28 17:00:00,91.58,65.5
2022-05-28 17:05:00,91.58,65.6
2022-05-28 17:10:00,91.58,65.6
2022-05-28 17:15:00,91.76,65.3
2022-05-28 17:20:00,91.76,64.8
2022-05-28 17:25:00,92.12,64.3
2022-05-28 17:30:00,91.76,64.4
2022-05-28 17:35:00,91.76,64.5
2022-05-28 17:40:00,91.58,64.5
2022-05-28 17:45:00,91.58,64.5
2022-05-28 17:50:00,91.4,64.2
2022-05-28 17:55:00,91.22,64.1
2022-05-28 18:00:00,91.04,64.2
2022-05-28 18:05:00,91.04,64.3
2022-05-28 18:10:00,87.62,64.3
2022-05-28 18:15:00,87.62,64.4
2022-05-28 18:20:00,87.26,64.8
2022-05-28 18:25:00,87.44,65.1
2022-05-28 18:30:00,87.26,64.9
2022-05-28 18:35:00,87.26,64.5
2022-05-28 18:40:00,87.08,64.5
2022-05-28 18:45:00,87.08,64.2
2022-05-28 18:50:00,87.26,64.2
2022-05-28 18:55:00,87.26,64.5
2022-05-28 19:00:00,86.9,64.8
2022-05-28 19:05:00,87.08,65.5
2022-05-28 19:10:00,86.9,65.5
2022-05-28 19:15:00,86.9,65.8
2022-05-28 19:20:00,87.08,66.2
2022-05-28 19:25:00,87.08,66.5
2022-05-28 19:30:00,86.72,66.7
2022-05-28 19:35:00,87.08,66.6
2022-05-28 19:40:00,86.9,66.6
2022-05-28 19:45:00,86.9,66.1
2022-05-28 19:50:00,86.9,65.6
2022-05-28 19:55:00,86.72,65.1
2022-05-28 20:00:00,86.72,64.8
2022-05-29 08:00:00,86.54,54.7
2022-05-29 08:05:00,81.68,55.6
2022-05-29 08:10:00,82.04,55.6
2022-05-29 08:15:00,81.86,56.2
2022-05-29 08:20:00,81.86,57.2
2022-05-29 08:25:00,81.86,57.7
2022-05-29 08:30:00,82.04,58.4
2022-05-29 08:35:00,82.22,58.4
2022-05-29 08:40:00,81.68,59.2
2022-05-29 08:45:00,82.22,60.0
2022-05-29 08:50:00,81.86,61.1
2022-05-29 08:55:00,82.22,62.1
2022-05-29 09:00:00,85.82,63.2
2022-05-29 09:05:00,85.46,63.6
2022-05-29 09:10:00,85.82,64.6
2022-05-29 09:15:00,86.0,64.6
2022-05-29 09:20:00,86.36,65.5
2022-05-29 09:25:00,86.18,65.8
2022-05-29 09:30:00,86.54,66.0
2022-05-29 09:35:00,86.72,66.0
2022-05-29 09:40:00,87.26,66.0
2022-05-29 09:45:00,87.44,66.3
2022-05-29 09:50:00,87.62,67.1
2022-05-29 09:55:00,87.62,67.2
2022-05-29 10:00:00,91.04,67.4
2022-05-29 10:05:00,91.22,67.4
2022-05-29 10:10:00,91.4,67.3
2022-05-29 10:15:00,91.4,67.5
2022-05-29 10:20:00,91.22,68.2
