Time,InternalTemperature,ExternalTemperature
2022-05-25 20:00:00,83.12,55.9
2022-05-26 20:00:00,83.84,61.3
2022-05-27 08:00:00,83.84,55.1
2022-05-27 08:05:00,82.58,55.3
2022-05-27 08:10:00,82.22,55.3
2022-05-27 08:15:00,82.04,55.3
2022-05-27 08:20:00,82.22,55.3
2022-05-27 08:25:00,82.22,55.3
2022-05-27 08:30:00,82.22,55.7
2022-05-27 08:35:00,81.86,56.0
2022-05-27 08:40:00,81.86,56.4
2022-05-27 08:45:00,82.04,56.4
2022-05-27 08:50:00,82.04,56.8
2022-05-27 08:55:00,82.04,57.3
2022-05-27 09:00:00,82.58,57.8
2022-05-27 09:05:00,82.76,57.9
2022-05-27 09:10:00,82.4,58.2
2022-05-27 09:15:00,82.22,58.2
2022-05-27 09:20:00,82.04,58.6
2022-05-27 09:25:00,81.86,58.7
2022-05-27 09:30:00,82.22,58.9
2022-05-27 09:35:00,82.22,59.3
2022-05-27 09:40:00,82.4,59.6
2022-05-27 09:45:00,82.76,59.6
2022-05-27 09:50:00,82.94,60.3
2022-05-27 09:55:00,83.12,60.8
2022-05-27 10:00:00,83.12,61.8
2022-05-27 10:05:00,83.12,62.0
2022-05-27 10:10:00,83.12,62.0
2022-05-27 10:15:00,82.94,62.0
2022-05-27 10:20:00,82.94,62.3
2022-05-27 10:25:00,83.12,62.5
2022-05-27 10:30:00,83.3,62.7
2022-05-27 10:35:00,83.12,62.9
2022-05-27 10:40:00,83.12,62.9
2022-05-27 10:45:00,83.66,63.5
2022-05-27 10:50:00,83.48,64.5
2022-05-27 10:55:00,84.02,66.5
2022-05-27 11:00:00,84.2,66.8
2022-05-27 11:05:00,84.74,66.5
2022-05-27 11:10:00,84.92,66.5
2022-05-27 11:15:00,85.28,66.3
2022-05-27 11:20:00,85.46,65.9
2022-05-27 11:25:00,85.64,65.9
2022-05-27 11:30:00,85.64,66.8
2022-05-27 11:35:00,85.82,66.4
2022-05-27 11:40:00,86.0,66.4
2022-05-27 11:45:00,86.36,66.0
2022-05-27 11:50:00,86.54,66.4
2022-05-27 11:55:00,86.54,66.9
2022-05-27 12:00:00,86.9,66.9
2022-05-27 12:05:00,86.9,66.9
2022-05-27 12:10:00,87.26,66.9
2022-05-27 12:15:00,87.62,67.8
2022-05-27 12:20:00,87.98,68.5
2022-05-27 12:25:00,88.52,69.6
2022-05-27 12:30:00,88.88,69.6
2022-05-27 12:35:00,89.24,69.6
2022-05-27 12:40:00,89.42,69.1
2022-05-27 12:45:00,89.6,69.1
2022-05-27 12:50:00,89.6,68.4
2022-05-27 12:55:00,89.78,67.5
2022-05-27 13:00:00,89.96,66.7
2022-05-27 13:05:00,89.78,66.3
2022-05-27 13:10:00,89.6,66.3
2022-05-27 13:15:00,89.6,66.2
2022-05-27 13:20:00,89.6,65.6
2022-05-27 13:25:00,89.6,65.3
2022-05-27 13:30:00,89.6,65.0
2022-05-27 13:35:00,89.78,64.8
2022-05-27 13:40:00,89.96,64.8
2022-05-27 13:45:00,90.14,65.2
2022-05-27 13:50:00,90.32,65.8
2022-05-27 13:55:00,90.32,66.7
2022-05-27 14:00:00,90.5,66.4
2022-05-27 14:05:00,90.5,65.2
2022-05-27 14:10:00,90.32,65.2
2022-05-27 14:15:00,90.32,64.3
2022-05-27 14:20:00,90.32,63.4
2022-05-27 14:25:00,90.32,63.4
2022-05-27 14:30:00,90.32,63.3
2022-05-27 14:35:00,90.14,63.3
2022-05-27 14:40:00,89.96,63.9
2022-05-27 14:45:00,89.6,63.9
2022-05-27 14:50:00,89.24,64.6
2022-05-27 14:55:00,88.34,64.7
2022-05-27 15:00:00,88.34,64.3
2022-05-27 15:05:00,87.98,64.3
2022-05-27 15:10:00,87.8,64.3
2022-05-27 15:15:00,87.8,64.7
2022-05-27 15:20:00,87.98,64.9
2022-05-27 15:25:00,87.98,64.7
2022-05-27 15:30:00,87.98,64.4
2022-05-27 15:35:00,87.98,64.1
2022-05-27 15:40:00,87.98,64.1
2022-05-27 15:45:00,87.44,63.6
2022-05-27 15:50:00,87.44,63.1
2022-05-27 15:55:00,87.44,63.1
2022-05-27 16:00:00,87.26,63.0
2022-05-27 16:05:00,87.08,62.3
2022-05-27 16:10:00,86.72,62.3
2022-05-27 16:15:00,86.54,61.4
2022-05-27 16:20:00,86.18,60.5
2022-05-27 16:25:00,86.0,60.2
2022-05-27 16:30:00,85.82,59.6
2022-05-27 16:35:00,85.64,59.4
2022-05-27 16:40:00,85.28,59.4
2022-05-27 16:45:00,85.28,59.0
2022-05-27 16:50:00,85.28,58.3
2022-05-27 16:55:00,85.28,58.1
2022-05-27 17:00:00,85.46,58.1
2022-05-27 17:05:00,85.64,58.3
2022-05-27 17:10:00,85.64,58.3
2022-05-27 17:15:00,85.64,58.5
2022-05-27 17:20:00,85.28,58.6
2022-05-27 17:25:00,85.28,58.8
2022-05-27 17:30:00,85.28,59.1
